No,Voltage (V),Time to Rise (s),Distance,velocity,radius,Q,Qc,,,,Average Corrected Charge,,,Qc^(2/3),Q^(2/3)
1,24,109.23,0.0042666,3.91E-05,6.09E-07,2.03E-18,1.7571E-18,,,,,,,0,1.60553E-12
2,40,65.09,0.0042666,6.55E-05,1.39E-13,2.65E-18,8.80E-27,,,,,,,4.26294E-18,1.91667E-12
3,42,47.78,0.0042666,8.93E-05,9.21E-07,4.02E-18,3.64E-18,,,,,,,2.36687E-12,2.52749E-12
4,45,117.8,0.0042666,3.62E-05,5.86E-07,9.69E-19,8.32E-19,,,,,,,8.84792E-13,9.79073E-13
5,45,43.11,0.0042666,9.90E-05,9.69E-07,4.38E-18,3.98E-18,,,,,,,2.51335E-12,2.67536E-12
6,45,208.3,0.0042666,2.05E-05,4.41E-07,4.12E-19,3.38E-19,,,,,,,4.84977E-13,5.53695E-13
7,45,40.14,0.0042666,0.000106293,1.00E-06,4.87E-18,4.45E-18,,,,,,,2.70505E-12,2.87331E-12
8,48,133.49,0.0042666,3.20E-05,5.51E-07,7.53E-19,6.41E-19,,,,,,,7.43296E-13,8.2761E-13
9,50,128.94,0.0042666,3.31E-05,5.60E-07,7.61E-19,6.50E-19,,,,,,,7.50179E-13,8.33811E-13
10,51,74.98,0.0042666,5.69E-05,7.35E-07,1.68E-18,1.49E-18,,,,,,,1.30419E-12,1.41506E-12
11,51,70.87,0.0042666,6.02E-05,7.56E-07,1.83E-18,1.63E-18,,,,,,,1.38284E-12,1.49713E-12
12,52,102.63,0.0042666,4.16E-05,6.28E-07,1.03E-18,8.94E-19,,,,,,,9.28209E-13,1.02053E-12
13,57,55.96,0.0042666,7.62E-05,8.51E-07,2.34E-18,2.10E-18,,,,,,,1.64007E-12,1.76052E-12
14,58,73.45,0.0042666,5.81E-05,7.43E-07,1.53E-18,1.35E-18,,,,,,,1.22294E-12,1.32584E-12
15,60,83.2,0.0042666,5.13E-05,6.98E-07,1.22E-18,1.08E-18,,,,,,,1.05026E-12,1.14431E-12
16,60,62.18,0.0042666,6.86E-05,8.07E-07,1.89E-18,1.69E-18,,,,,,,1.42113E-12,1.53115E-12
17,62,40.44,0.0042666,0.000105504,1.00E-06,3.50E-18,3.19E-18,,,,,,,2.16801E-12,2.30337E-12
18,63,120.74,0.0042666,3.53E-05,5.79E-07,6.67E-19,5.72E-19,,,,,,,6.88966E-13,7.63291E-13
19,65,139.41,0.0042666,3.06E-05,5.39E-07,5.21E-19,4.42E-19,,,,,,,5.80184E-13,6.47439E-13
20,67,67.14,0.0042666,6.35E-05,7.77E-07,1.51E-18,1.35E-18,,,,,,,1.21937E-12,1.31746E-12
21,67,93.27,0.0042666,4.57E-05,6.59E-07,9.24E-19,8.06E-19,,,,,,,8.66235E-13,9.48368E-13
22,68,41.32,0.0042666,0.000103258,9.90E-07,3.09E-18,2.82E-18,,,,,,,1.99384E-12,2.11967E-12
23,69,82.32,0.0042666,5.18E-05,7.01E-07,1.08E-18,9.52E-19,,,,,,,9.67473E-13,1.05365E-12
24,69,46.18,0.0042666,9.24E-05,9.36E-07,2.57E-18,2.34E-18,,,,,,,1.76076E-12,1.87823E-12
25,70,75.24,0.0042666,5.67E-05,7.34E-07,1.22E-18,1.08E-18,,,,,,,1.05219E-12,1.14179E-12
26,71,38.68,0.0042666,0.000110305,1.02E-06,3.26E-18,2.99E-18,,,,,,,2.0735E-12,2.2001E-12
27,72,50.16,0.0042666,8.51E-05,8.99E-07,2.18E-18,1.97E-18,,,,,,,1.57155E-12,1.68083E-12
28,72,121.5,0.0042666,3.51E-05,5.77E-07,5.78E-19,4.95E-19,,,,,,,6.26151E-13,6.93911E-13
29,72,45.35,0.0042666,9.41E-05,9.45E-07,2.53E-18,2.30E-18,,,,,,,1.74381E-12,1.8591E-12
30,74,62.06,0.0042666,6.87E-05,8.08E-07,1.54E-18,1.38E-18,,,,,,,1.23817E-12,1.33394E-12
31,74,66.57,0.0042666,6.41E-05,7.80E-07,1.39E-18,1.24E-18,,,,,,,1.15134E-12,1.24357E-12
32,76,87.81,0.0042666,4.86E-05,6.79E-07,8.91E-19,7.81E-19,,,,,,,8.48125E-13,9.26152E-13
33,77,74.44,0.0042666,5.73E-05,7.38E-07,1.13E-18,9.98E-19,,,,,,,9.98442E-13,1.08302E-12
34,81,46.4,0.0042666,9.20E-05,9.34E-07,2.18E-18,1.98E-18,,,,,,,1.57451E-12,1.67981E-12
35,82,49.66,0.0042666,8.59E-05,9.03E-07,1.94E-18,1.76E-18,,,,,,,1.45602E-12,1.55675E-12
36,83,57.07,0.0042666,7.48E-05,8.42E-07,1.56E-18,1.40E-18,,,,,,,1.25094E-12,1.34372E-12
37,86,52.56,0.0042666,8.12E-05,8.78E-07,1.70E-18,1.53E-18,,,,,,,1.33021E-12,1.42489E-12
38,86,79.76,0.0042666,5.35E-05,7.13E-07,9.10E-19,8.02E-19,,,,,,,8.63276E-13,9.38969E-13
39,86,50.9,0.0042666,8.38E-05,8.92E-07,1.78E-18,1.61E-18,,,,,,,1.37505E-12,1.47136E-12
40,87,53.45,0.0042666,7.98E-05,8.70E-07,1.64E-18,1.48E-18,,,,,,,1.29729E-12,1.39041E-12
41,88,57,0.0042666,7.49E-05,8.43E-07,1.47E-18,1.32E-18,,,,,,,1.20462E-12,1.29391E-12
42,90,20.18,0.0042666,0.000211427,1.42E-06,6.83E-18,6.40E-18,,,,,,,3.44833E-12,3.60041E-12
43,91,57.5,0.0042666,7.42E-05,8.39E-07,1.40E-18,1.26E-18,,,,,,,1.16741E-12,1.25431E-12
44,91,69.88,0.0042666,6.11E-05,7.61E-07,1.05E-18,9.32E-19,,,,,,,9.53819E-13,1.0321E-12
45,91,26.56,0.0042666,0.00016064,1.23E-06,4.47E-18,4.16E-18,,,,,,,2.5847E-12,2.71548E-12
46,91,81.86,0.0042666,5.21E-05,7.03E-07,8.27E-19,7.28E-19,,,,,,,8.09177E-13,8.81054E-13
47,92,177.8,0.0042666,2.40E-05,4.77E-07,2.56E-19,2.12E-19,,,,,,,3.56082E-13,4.02697E-13
48,95,49.01,0.0042666,8.71E-05,9.09E-07,1.71E-18,1.55E-18,,,,,,,1.33803E-12,1.43E-12
49,95,135.14,0.0042666,3.16E-05,5.47E-07,3.73E-19,3.18E-19,,,,,,,4.65478E-13,5.18604E-13
50,95,49.3,0.0042666,8.65E-05,9.06E-07,1.69E-18,1.53E-18,,,,,,,1.32991E-12,1.42158E-12
51,96,39.07,0.0042666,0.000109204,1.02E-06,2.38E-18,2.17E-18,,,,,,,1.67834E-12,1.78133E-12
52,96,53.78,0.0042666,7.93E-05,8.68E-07,1.47E-18,1.33E-18,,,,,,,1.20718E-12,1.2941E-12
53,96,53.39,0.0042666,7.99E-05,8.71E-07,1.49E-18,1.34E-18,,,,,,,1.2163E-12,1.30355E-12
54,101,61.95,0.0042666,6.89E-05,8.08E-07,1.13E-18,1.01E-18,,,,,,,1.00814E-12,1.08604E-12
55,101,73.04,0.0042666,5.84E-05,7.45E-07,8.84E-19,7.83E-19,,,,,,,8.49837E-13,9.21143E-13
56,101,28.84,0.0042666,0.00014794,1.18E-06,3.56E-18,3.30E-18,,,,,,,2.21604E-12,2.33288E-12
57,103,52.36,0.0042666,8.15E-05,8.79E-07,1.43E-18,1.29E-18,,,,,,,1.18414E-12,1.26827E-12
58,103,49.77,0.0042666,8.57E-05,9.02E-07,1.54E-18,1.39E-18,,,,,,,1.24784E-12,1.33427E-12
59,104,56.94,0.0042666,7.49E-05,8.43E-07,1.25E-18,1.12E-18,,,,,,,1.07884E-12,1.15877E-12
60,105,120.39,0.0042666,3.54E-05,5.80E-07,4.02E-19,3.45E-19,,,,,,,4.9161E-13,5.44568E-13
61,106,31.56,0.0042666,0.00013519,1.13E-06,2.97E-18,2.74E-18,,,,,,,1.95634E-12,2.06424E-12
62,108,11.49,0.0042666,0.000371332,1.88E-06,1.33E-17,1.26E-17,,,,,,,5.41937E-12,5.59972E-12
63,113,20.87,0.0042666,0.000204437,1.39E-06,5.17E-18,4.84E-18,,,,,,,2.8629E-12,2.9913E-12
64,113,98.31,0.0042666,4.34E-05,6.42E-07,5.06E-19,4.40E-19,,,,,,,5.78685E-13,6.35017E-13
65,115,82.44,0.0042666,5.18E-05,7.01E-07,6.48E-19,5.70E-19,,,,,,,6.87197E-13,7.48454E-13
66,115,136.58,0.0042666,3.12E-05,5.45E-07,3.04E-19,2.58E-19,,,,,,,4.05269E-13,4.51769E-13
67,117,83.23,0.0042666,5.13E-05,6.98E-07,6.27E-19,5.52E-19,,,,,,,6.72632E-13,7.32878E-13
68,118,134.14,0.0042666,3.18E-05,5.49E-07,3.04E-19,2.59E-19,,,,,,,4.05992E-13,4.52157E-13
69,118,24.48,0.0042666,0.000174289,1.29E-06,3.90E-18,3.63E-18,,,,,,,2.36285E-12,2.47763E-12
70,119,55.18,0.0042666,7.73E-05,8.57E-07,1.14E-18,1.03E-18,,,,,,,1.01871E-12,1.09301E-12
71,120,39.63,0.0042666,0.000107661,1.01E-06,1.86E-18,1.70E-18,,,,,,,1.42532E-12,1.51341E-12
72,120,169.64,0.0042666,2.52E-05,4.89E-07,2.10E-19,1.76E-19,,,,,,,3.13468E-13,3.53552E-13
73,122,79.52,0.0042666,5.37E-05,7.14E-07,6.44E-19,5.68E-19,,,,,,,6.85915E-13,7.45966E-13
74,123,52.2,0.0042666,8.17E-05,8.81E-07,1.20E-18,1.08E-18,,,,,,,1.05536E-12,1.13022E-12
75,123,144.25,0.0042666,2.96E-05,5.30E-07,2.62E-19,2.21E-19,,,,,,,3.65854E-13,4.08993E-13
76,123,107.08,0.0042666,3.98E-05,6.15E-07,4.09E-19,3.54E-19,,,,,,,5.00152E-13,5.50964E-13
77,123,22.5,0.0042666,0.000189627,1.34E-06,4.25E-18,3.97E-18,,,,,,,2.50542E-12,2.6221E-12
78,124,39.78,0.0042666,0.000107255,1.01E-06,1.79E-18,1.64E-18,,,,,,,1.38909E-12,1.4751E-12
79,124,78.6,0.0042666,5.43E-05,7.18E-07,6.45E-19,5.69E-19,,,,,,,6.86782E-13,7.4656E-13
80,124,103.24,0.0042666,4.13E-05,6.26E-07,4.29E-19,3.72E-19,,,,,,,5.16825E-13,5.68381E-13
81,124,53.07,0.0042666,8.04E-05,8.74E-07,1.16E-18,1.05E-18,,,,,,,1.0319E-12,1.1057E-12
82,124,47.98,0.0042666,8.89E-05,9.19E-07,1.35E-18,1.23E-18,,,,,,,1.14513E-12,1.223E-12
83,125,26.23,0.0042666,0.000162661,1.24E-06,3.32E-18,3.08E-18,,,,,,,2.11864E-12,2.22517E-12
